symbol,scan_date,category,scan_close,entry_min,entry_max,target,stop_loss,rsi,vol_mult,delivery_pct,del_mult,status,entry_date,entry_price,exit_date,exit_price,pnl_pct,result,days_held,reason
MARICO,2026-06-29,HEAVY_DELIVERY,839.95,831.6,848.3,923.9,789.6,63.76,3.45,76.8,3.7,ACTIVE,2026-06-30,840.0,,,-0.23,,,
RADICO,2026-06-29,HEAVY_DELIVERY,3876.9,3838.1,3915.7,4264.6,3644.3,74.14,2.34,63.65,2.28,ACTIVE,2026-06-30,3875.0,,,5.98,,,
BIOCON,2026-06-30,HEAVY_DELIVERY,418.3,414.1,422.5,460.1,393.2,54.44,1.93,58.91,2.08,ACTIVE,2026-07-01,421.45,,,0.68,,,
ALKEM,2026-06-30,HEAVY_DELIVERY,5570.0,5514.3,5625.7,6127.0,5235.8,68.08,2.42,52.46,2.54,ACTIVE,2026-07-01,5594.0,,,0.08,,,
HEXT,2026-06-30,HEAVY_DELIVERY,514.85,509.7,520.0,566.3,484.0,57.01,1.25,60.22,2.73,TARGET_HIT,2026-07-01,519.9,2026-07-13,566.3,8.92,WIN,13,Target ₹566.3 hit
INDHOTEL,2026-06-30,HEAVY_DELIVERY,713.95,706.8,721.1,785.3,671.1,62.09,2.02,68.75,2.08,ACTIVE,2026-07-01,713.95,,,3.39,,,
SOBHA,2026-07-01,MOMENTUM_BREAKOUT,1410.4,1396.3,1424.5,1551.4,1325.8,55.21,3.46,0.0,0.0,ACTIVE,2026-07-02,1424.5,,,2.28,,,
PRESTIGE,2026-07-02,HEAVY_DELIVERY,1674.1,1657.4,1690.8,1841.5,1514.0,76.74,2.06,54.64,2.51,ACTIVE,2026-07-03,1682.0,,,1.28,,,
PHOENIXLTD,2026-07-02,HEAVY_DELIVERY,2012.5,1992.4,2032.6,2213.8,1881.2,75.26,2.7,75.17,3.63,ACTIVE,2026-07-03,2032.6,,,3.6,,,
ANTHEM,2026-07-02,HEAVY_DELIVERY,772.35,764.6,780.1,849.6,726.0,51.67,1.8,62.42,2.04,ACTIVE,2026-07-03,779.0,,,-0.64,,,
SOBHA,2026-07-02,HEAVY_DELIVERY,1434.6,1420.3,1448.9,1578.1,1348.5,59.39,1.84,52.92,2.98,ACTIVE,2026-07-03,1440.0,,,1.18,,,
OBEROIRLTY,2026-07-02,HEAVY_DELIVERY,1864.7,1846.1,1883.3,2051.2,1726.0,75.89,2.04,62.59,2.8,ACTIVE,2026-07-03,1883.3,,,3.72,,,
DLF,2026-07-03,HEAVY_DELIVERY,675.9,669.1,682.7,743.5,622.5,71.56,1.54,53.64,2.39,ACTIVE,2026-07-06,677.25,,,-0.58,,,
ALKEM,2026-07-03,HEAVY_DELIVERY,5562.5,5506.9,5618.1,6118.8,5228.8,63.6,3.54,69.44,3.69,ACTIVE,2026-07-06,5600.0,,,-0.03,,,
HEXT,2026-07-03,HEAVY_DELIVERY,546.6,541.1,552.1,601.3,513.8,65.33,1.03,64.77,2.53,ACTIVE,2026-07-06,548.0,,,-2.24,,,
LODHA,2026-07-03,HEAVY_DELIVERY,1057.0,1046.4,1067.6,1162.7,946.9,74.97,2.83,51.21,3.03,TARGET_HIT,2026-07-06,1063.95,2026-07-13,1162.7,9.28,WIN,8,Target ₹1162.7 hit
SOBHA,2026-07-03,HEAVY_DELIVERY,1442.9,1428.5,1457.3,1587.2,1356.3,60.75,2.31,57.71,3.11,ACTIVE,2026-07-06,1457.3,,,-0.02,,,
GODREJPROP,2026-07-03,HEAVY_DELIVERY,1996.4,1976.4,2016.4,2196.0,1836.6,74.51,1.51,52.37,2.0,ACTIVE,2026-07-06,2016.0,,,1.51,,,
IPCALAB,2026-07-03,HEAVY_DELIVERY,1778.9,1761.1,1796.7,1956.8,1640.8,76.18,2.26,50.04,2.26,ACTIVE,2026-07-06,1796.7,,,-0.8,,,
HDFCBANK,2026-07-06,HEAVY_DELIVERY,829.85,821.6,838.1,912.8,780.1,75.14,1.68,68.53,2.09,ACTIVE,2026-07-06,805.0,,,,,,
PRESTIGE,2026-07-06,HEAVY_DELIVERY,1703.5,1686.5,1720.5,1873.9,1545.3,77.82,1.7,57.24,2.04,ACTIVE,2026-07-06,1683.0,,,,,,
