entry_time,exit_time,signal_type,strike,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,max_profit_pct,max_loss_pct,duration_minutes,hit_breakeven,trailing_activated
2026-01-27 14:50:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81800,418.87,609.99,10,1891.21,45.63,time_exit,47.04,-6.1,35,False,False
2026-01-27 14:51:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81800,436.79,609.99,10,1712.03,39.65,time_exit,41.01,-9.96,34,False,False
2026-01-27 14:52:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81800,439.49,609.99,10,1685.0,38.8,time_exit,40.14,-10.51,33,False,False
2026-01-27 14:53:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81800,443.44,609.99,10,1645.46,37.56,time_exit,38.89,-11.31,32,False,False
2026-01-27 14:55:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81900,402.45,544.6,10,1401.53,35.32,time_exit,36.67,-14.36,30,False,False
2026-01-27 15:07:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81900,427.68,544.6,10,1149.28,27.34,time_exit,28.61,-7.75,18,False,False
2026-01-27 15:08:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81900,415.97,544.6,10,1266.39,30.93,time_exit,32.23,-5.15,17,False,False
2026-01-27 15:11:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81900,440.89,544.6,10,1017.14,23.52,time_exit,24.76,-0.2,14,False,False
2026-01-27 15:12:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81900,449.75,544.6,10,928.56,21.09,time_exit,22.3,-2.17,13,False,False
2026-01-27 15:15:00+05:30,2026-01-27 15:25:00+05:30,BUY_CE,81900,466.07,544.6,10,765.39,16.85,time_exit,18.02,-1.39,10,False,False
2026-01-28 13:44:00+05:30,2026-01-28 14:30:00+05:30,BUY_PE,81800,237.24,177.75,10,-614.87,-25.08,stoploss,16.76,-41.56,46,False,False
2026-01-28 13:45:00+05:30,2026-01-28 14:29:00+05:30,BUY_PE,81800,243.44,182.4,10,-630.43,-25.07,stoploss,13.78,-26.43,44,False,False
2026-01-28 13:47:00+05:30,2026-01-28 14:03:00+05:30,BUY_PE,81800,244.39,183.11,10,-632.82,-25.07,stoploss,13.34,-25.22,16,False,False
2026-01-28 13:48:00+05:30,2026-01-28 13:58:00+05:30,BUY_PE,81700,226.78,169.91,10,-588.64,-25.08,stoploss,2.96,-26.27,10,False,False
2026-01-28 13:50:00+05:30,2026-01-28 13:55:00+05:30,BUY_PE,81700,232.28,174.04,10,-602.45,-25.08,stoploss,0.12,-25.05,5,False,False
2026-01-28 13:51:00+05:30,2026-01-28 13:59:00+05:30,BUY_PE,81800,264.26,198.0,10,-682.64,-25.07,stoploss,0.0,-27.82,8,False,False
2026-01-28 14:00:00+05:30,2026-01-28 15:03:00+05:30,BUY_CE,82100,256.96,435.71,10,1767.52,69.56,trailing_sl,80.96,-20.28,63,False,True
2026-01-28 14:15:00+05:30,2026-01-28 14:30:00+05:30,BUY_PE,81800,226.93,170.02,10,-589.02,-25.08,stoploss,3.95,-38.9,15,False,False
2026-01-28 14:21:00+05:30,2026-01-28 15:03:00+05:30,BUY_CE,82100,233.58,435.71,10,2001.25,86.53,trailing_sl,99.07,-9.63,42,False,True
2026-01-28 14:30:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82100,276.68,412.24,10,1335.61,49.0,time_exit,68.07,-20.18,55,False,False
2026-01-28 14:45:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82200,253.1,345.15,10,900.52,36.37,time_exit,57.29,-4.05,40,False,False
2026-01-28 14:46:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82200,253.3,345.15,10,898.51,36.26,time_exit,57.16,-4.13,39,False,False
2026-01-28 14:47:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82200,256.86,345.15,10,862.98,34.38,time_exit,54.99,-5.45,38,False,False
2026-01-28 14:49:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82300,222.82,288.51,10,636.89,29.48,time_exit,51.71,-2.86,36,False,False
2026-01-28 14:50:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82300,230.93,288.51,10,555.81,24.93,time_exit,46.39,-1.36,35,False,False
2026-01-28 14:51:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82300,261.66,288.51,10,248.5,10.26,time_exit,29.19,-6.21,34,False,False
2026-01-28 14:52:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82300,251.2,288.51,10,353.1,14.85,time_exit,34.57,-2.31,33,False,False
2026-01-28 14:53:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82300,270.42,288.51,10,160.91,6.69,time_exit,25.01,-2.56,32,False,False
2026-01-28 14:54:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82300,283.98,288.51,10,25.28,1.59,time_exit,19.04,-7.07,31,False,False
2026-01-28 14:55:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82400,248.3,239.01,10,-112.87,-3.74,time_exit,14.46,-12.42,30,False,False
2026-01-28 14:56:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82400,251.45,239.01,10,-144.4,-4.95,time_exit,13.02,-13.52,29,False,False
2026-01-28 14:57:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82400,258.01,239.01,10,-209.97,-7.36,time_exit,10.15,-15.72,28,False,False
2026-01-28 14:58:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82400,256.51,239.01,10,-194.95,-6.82,time_exit,10.8,-15.23,27,False,False
2026-01-28 15:00:00+05:30,2026-01-28 15:25:00+05:30,BUY_CE,82400,253.65,239.01,10,-166.43,-5.77,time_exit,12.04,-14.27,25,False,False
