entry_time,exit_time,signal_type,strike,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,max_profit_pct,max_loss_pct,duration_minutes,hit_breakeven,trailing_activated
2026-01-22 14:18:00+05:30,2026-01-22 14:28:00+05:30,BUY_PE,25100,86.24,64.61,25,-560.59,-25.07,stoploss,1.76,-27.7,10,False,False
2026-01-22 14:22:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25250,125.48,196.95,25,1766.94,56.97,time_exit,68.08,-5.76,63,False,False
2026-01-22 14:27:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25250,130.48,196.95,25,1641.81,50.94,time_exit,61.63,-1.06,58,False,False
2026-01-22 14:30:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25300,116.67,162.64,25,1129.27,39.4,time_exit,50.0,-1.6,55,False,False
2026-01-22 14:33:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25300,134.08,162.64,25,693.83,21.3,time_exit,30.52,-14.38,52,False,False
2026-01-22 14:36:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25350,115.27,132.72,25,416.3,15.14,time_exit,24.89,-20.7,49,False,False
2026-01-22 14:40:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25350,119.57,132.72,25,308.69,11.0,time_exit,20.39,-23.56,45,False,False
2026-01-22 14:47:00+05:30,2026-01-22 15:02:00+05:30,BUY_CE,25350,122.72,91.95,25,-789.32,-25.07,stoploss,6.42,-25.52,15,False,False
2026-01-22 15:02:00+05:30,2026-01-22 15:15:00+05:30,BUY_PE,25200,80.63,60.41,25,-525.45,-25.07,stoploss,7.65,-25.4,13,False,False
2026-01-22 15:05:00+05:30,2026-01-22 15:17:00+05:30,BUY_PE,25200,78.83,59.06,25,-514.16,-25.08,stoploss,1.99,-29.4,12,False,False
2026-01-22 15:10:00+05:30,2026-01-22 15:25:00+05:30,BUY_CE,25350,121.02,132.72,25,272.41,9.66,time_exit,18.95,-4.69,15,False,False
