entry_time,sl_pct,target_pct,total_trades,winners,win_rate,total_pnl,avg_pnl,profit_factor
10:15,35,30,9,7,77.77777777777779,5278.750000000002,586.5277777777779,3.246276595744683
10:00,20,30,9,6,66.66666666666666,5243.749999999999,582.6388888888888,3.761685319289006
10:15,40,30,9,7,77.77777777777779,5096.250000000002,566.2500000000002,3.012339585389933
09:30,35,40,9,6,66.66666666666666,5053.750000000002,561.5277777777779,2.087705138552597
10:15,40,60,9,6,66.66666666666666,4953.750000000001,550.4166666666667,1.9276685393258426
09:30,25,40,9,5,55.55555555555556,4941.250000000002,549.0277777777779,2.3111111111111122
09:30,20,50,9,4,44.44444444444444,4920.000000000002,546.6666666666669,2.196352583586627
09:45,20,40,9,5,55.55555555555556,4793.750000000001,532.638888888889,2.5140150019739447
09:45,30,50,9,5,55.55555555555556,4781.25,531.25,1.9564891222805705
10:15,35,50,9,6,66.66666666666666,4733.75,525.9722222222222,1.9178380998545808
10:15,40,50,9,6,66.66666666666666,4551.25,505.69444444444446,1.8522940074906367
09:45,35,50,9,5,55.55555555555556,4333.75,481.52777777777777,1.7957310075740192
09:45,40,60,9,5,55.55555555555556,3976.249999999999,441.80555555555543,1.5283175552233845
10:00,35,40,9,6,66.66666666666666,3939.999999999998,437.7777777777776,1.8051085568326943
10:00,30,40,9,6,66.66666666666666,3939.999999999998,437.7777777777776,1.8051085568326943
09:30,30,30,9,6,66.66666666666666,3752.500000000002,416.9444444444446,1.9849081364829404
09:45,25,40,9,5,55.55555555555556,3745.000000000001,416.1111111111112,1.8884934756820877
09:45,40,70,9,5,55.55555555555556,3727.499999999999,414.1666666666666,1.4952665670154457
10:00,40,40,9,6,66.66666666666666,3649.999999999999,405.55555555555543,1.7041234627441522
10:30,40,50,9,6,66.66666666666666,3636.249999999999,404.02777777777766,1.62788689833801
10:00,25,60,9,5,55.55555555555556,3576.249999999999,397.36111111111103,1.6589129433440808
10:00,25,50,9,5,55.55555555555556,3426.249999999999,380.69444444444434,1.6312759097190233
10:15,35,60,9,5,55.55555555555556,3399.999999999999,377.77777777777766,1.535960591133005
09:30,20,40,9,4,44.44444444444444,3120.000000000002,346.66666666666686,1.7586626139817636
09:30,25,30,9,5,55.55555555555556,3048.750000000002,338.7500000000002,1.8089552238805977
09:30,40,40,9,6,66.66666666666666,3013.750000000001,334.8611111111112,1.4507384557861285
10:00,40,70,9,5,55.55555555555556,2969.999999999999,329.9999999999999,1.5691017964071854
09:45,30,40,9,5,55.55555555555556,2961.250000000001,329.0277777777779,1.5923980995248814
09:30,35,30,9,6,66.66666666666666,2916.250000000002,324.027777777778,1.6276567124024757
09:45,20,30,9,5,55.55555555555556,2883.75,320.4166666666667,1.9107777339123575
10:15,35,40,9,6,66.66666666666666,2811.249999999999,312.36111111111103,1.5450799806107611
10:00,25,70,9,5,55.55555555555556,2761.249999999999,306.80555555555543,1.5087517273146014
10:15,25,30,9,5,55.55555555555556,2660.0000000000014,295.5555555555557,1.8529058116232473
10:15,40,40,9,6,66.66666666666666,2628.749999999999,292.08333333333326,1.4922752808988764
09:45,35,40,9,5,55.55555555555556,2513.750000000001,279.30555555555566,1.461556116593987
09:45,40,50,9,5,55.55555555555556,2253.749999999999,250.41666666666657,1.299451918285999
